% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.915736867e+001 +2.915736867e+001 +1.221736867e+001 +1.221736867e+001 +3.6544e+000 +2.0372e+000 -1.6636e+000 +3.5537e+000 -4.8185e+000 -2.7704e+000 +4.6854e+000 +4.5698e+000 -1.4703e+000 -4.3223e+000
3 +1.735319288e+001 +1.735319288e+001 +4.131928843e-001 +4.131928843e-001 +3.1168e+000 -6.4929e-003 +8.0522e-001 +2.4376e+000 +4.8692e+000 -1.0314e+000 +1.0880e+000 -4.7492e+000 +4.4495e+000 +1.3565e+000
30 +1.149370329e+001 +1.149370329e+001 -5.446296709e+000 -5.446296709e+000 +4.5836e+000 +2.4853e+000 -4.1058e+000 -2.2393e+000 +2.2188e+000 -4.8677e+000 +3.2335e-001 -3.1298e+000 +3.0841e+000 -4.8313e+000
272 +9.546832508e+000 +9.546832508e+000 -7.393167492e+000 -7.393167492e+000 +4.3207e+000 +2.9861e+000 -1.7703e+000 -2.3141e+000 +1.4838e+000 -4.1137e+000 +1.6381e-001 -1.9308e+000 +1.4096e+000 -1.6571e+000
404 +6.115627346e+000 +6.115627346e+000 -1.082437265e+001 -1.082437265e+001 +4.2020e+000 +5.7643e-001 -8.8832e-001 +3.0085e+000 +1.8193e+000 +7.1522e-002 +2.4649e+000 -3.0482e+000 -4.0474e-001 -1.8560e+000
905 +3.655365723e+000 +3.655365723e+000 -1.328463428e+001 -1.328463428e+001 +4.2535e+000 +2.0271e+000 -8.2869e-001 +1.5332e+000 +1.1636e-001 -7.4714e-001 +2.4651e+000 -1.9054e+000 +5.4679e-001 -2.4160e+000
1398 +2.477937238e+000 +2.477937238e+000 -1.446206276e+001 -1.446206276e+001 +2.7912e+000 +2.1979e+000 -1.1456e+000 +1.5640e+000 +1.7988e+000 -1.1606e+000 +1.7987e+000 -9.6265e-001 -6.2507e-001 -1.4777e+000
1948 +7.750213519e-001 +7.750213519e-001 -1.616497865e+001 -1.616497865e+001 +3.5411e+000 +2.3893e+000 -1.7134e+000 +9.4942e-001 +1.3353e+000 -1.0909e+000 +3.5140e+000 -2.2388e+000 +6.3872e-001 -1.9083e+000
5198 +6.220193185e-001 +6.220193185e-001 -1.631798068e+001 -1.631798068e+001 +3.6286e+000 +2.2102e+000 -1.7705e+000 +7.6366e-001 +1.2517e+000 -1.2664e+000 +3.4294e+000 -2.3333e+000 +1.6158e-001 -1.8124e+000
6182 +3.754711037e-001 +3.754711037e-001 -1.656452890e+001 -1.656452890e+001 +3.5772e+000 +2.2378e+000 -1.5800e+000 +8.4909e-001 +1.4039e+000 -1.2861e+000 +3.4221e+000 -2.0682e+000 +1.3764e-001 -1.8574e+000
14439 +1.992917500e-001 +1.992917500e-001 -1.674070825e+001 -1.674070825e+001 +3.5882e+000 +2.4681e+000 -1.4986e+000 +1.3361e+000 +1.3949e+000 -1.8612e+000 +3.5647e+000 -2.4432e+000 -3.5481e-001 -2.0648e+000
17648 +1.202291139e-001 +1.202291139e-001 -1.681977089e+001 -1.681977089e+001 +3.5570e+000 +2.5409e+000 -1.3642e+000 +1.4181e+000 +1.4288e+000 -1.8612e+000 +3.5277e+000 -2.3895e+000 -4.2778e-001 -2.1418e+000
27165 +9.363832036e-002 +9.363832036e-002 -1.684636168e+001 -1.684636168e+001 +3.6418e+000 +2.4823e+000 -1.5026e+000 +1.4520e+000 +1.3399e+000 -1.9446e+000 +3.4375e+000 -2.3144e+000 -3.9973e-001 -2.0311e+000
53659 +6.103000838e-002 +6.103000838e-002 -1.687896999e+001 -1.687896999e+001 +3.6451e+000 +2.5446e+000 -1.5440e+000 +1.4469e+000 +1.4144e+000 -1.9331e+000 +3.5208e+000 -2.3596e+000 -3.9403e-001 -2.0693e+000
